,histogram
0,72960.0
1,435.0
2,180.0
3,55.0
4,169.0
5,152.0
6,461.0
7,312.0
8,40.0
9,48.0
10,28.0
11,34.0
12,24.0
13,55.0
14,78.0
15,174.0
16,122.0
17,59.0
18,70.0
19,53.0
20,90.0
21,54.0
22,20.0
23,57.0
24,51.0
25,67.0
26,94.0
27,140.0
28,127.0
29,132.0
30,74.0
31,111.0
32,194.0
33,265.0
34,286.0
35,301.0
36,573.0
37,800.0
38,1154.0
39,1286.0
40,1808.0
41,2015.0
42,2175.0
43,2589.0
44,2478.0
45,2427.0
46,2551.0
47,2029.0
48,1820.0
49,1928.0
50,2061.0
51,1997.0
52,1887.0
53,1761.0
54,1756.0
55,1718.0
56,1426.0
57,1305.0
58,1207.0
59,1155.0
60,1148.0
61,1125.0
62,1096.0
63,1134.0
64,1161.0
65,1168.0
66,1195.0
67,1244.0
68,1159.0
69,1241.0
70,1310.0
71,1349.0
72,1362.0
73,1287.0
74,1304.0
75,1357.0
76,1399.0
77,1325.0
78,1335.0
79,1354.0
80,1291.0
81,1284.0
82,1372.0
83,1350.0
84,1645.0
85,1720.0
86,1664.0
87,1480.0
88,1362.0
89,1351.0
90,1104.0
91,1067.0
92,1020.0
93,922.0
94,899.0
95,943.0
96,843.0
97,856.0
98,902.0
99,903.0
100,901.0
101,857.0
102,803.0
103,873.0
104,821.0
105,891.0
106,918.0
107,912.0
108,879.0
109,927.0
110,802.0
111,918.0
112,881.0
113,988.0
114,904.0
115,911.0
116,869.0
117,907.0
118,813.0
119,838.0
120,1077.0
121,1182.0
122,1547.0
123,1542.0
124,1566.0
125,1429.0
126,1242.0
127,1228.0
128,1225.0
129,1372.0
130,1144.0
131,1179.0
132,1169.0
133,1186.0
134,1343.0
135,1393.0
136,1501.0
137,1601.0
138,1671.0
139,1681.0
140,2106.0
141,2149.0
142,2300.0
143,2469.0
144,2481.0
145,2558.0
146,2493.0
147,2183.0
148,1566.0
149,1582.0
150,1374.0
151,1310.0
152,1278.0
153,1437.0
154,1344.0
155,1005.0
156,959.0
157,831.0
158,729.0
159,674.0
160,626.0
161,667.0
162,650.0
163,612.0
164,678.0
165,664.0
166,671.0
167,675.0
168,653.0
169,682.0
170,744.0
171,792.0
172,768.0
173,830.0
174,768.0
175,806.0
176,855.0
177,865.0
178,938.0
179,990.0
180,975.0
181,961.0
182,971.0
183,1000.0
184,962.0
185,879.0
186,896.0
187,1059.0
188,1113.0
189,1051.0
190,997.0
191,1002.0
192,1005.0
193,1018.0
194,993.0
195,1043.0
196,1138.0
197,1100.0
198,1150.0
199,1209.0
200,1223.0
201,1079.0
202,935.0
203,894.0
204,808.0
205,751.0
206,779.0
207,778.0
208,656.0
209,671.0
210,650.0
211,620.0
212,659.0
213,734.0
214,662.0
215,732.0
216,679.0
217,558.0
218,511.0
219,621.0
220,603.0
221,597.0
222,576.0
223,497.0
224,511.0
225,394.0
226,383.0
227,385.0
228,340.0
229,389.0
230,257.0
231,186.0
232,144.0
233,123.0
234,132.0
235,104.0
236,102.0
237,114.0
238,133.0
239,134.0
240,131.0
241,143.0
242,135.0
243,130.0
244,100.0
245,69.0
246,78.0
247,73.0
248,102.0
249,138.0
250,711.0
251,2501.0
252,101.0
253,0.0
254,0.0
255,0.0
